dance,47.3,51.5,26.7-1-1
pulverize,45.4,21.2-1
marinate,87.1
stream,43.4,48.1.1,47.2
flit,51.3.2
spice,9.9
link,22.1-2-1,22.4
line,9.8,47.8
glower,40.2
bathe,9.8,41.1.1
straighten,45.2
revert,26.6.2
judder,47.2
democratize,45.4
pile,9.7-1-1
disprove,97.2
limp,51.3.2
flip,17.1-1
dredge,35.2
prod,59,20-1
jerk,12-1
kitten,28
resolve,89
embolden,31.1
sovietize,45.4
hoist,11.4,9.4
drag,35.2,11.4
revere,31.2
prop,9.2
chagrin,31.1
injure,40.8.3-2
zest,10.7
remind,37.2
arrange,9.1,26.1,55.5-1
assemble,47.5.2,26.1
snoop,30.3,35.5
agitate,31.1
lilt,43.2,37.3
tour,51.3.2
tout,37.12
purse,40.3.2
snore,40.2,40.1.1
remark,37.7-1,37.11-1
overcome,90
trumpet,43.2,37.3,38
slosh,9.5
patent,101
heat,45.4,45.3
bicycle,51.4.1-1
anchor,22.4
function,29.6
heap,9.7-2
contrast,22.2-2-1
destabilize,45.4
hear,84-1-1,30.1-1-1
choreograph,26.7-2
police,29.8-1
snort,40.2
heal,45.4
handfeed,39.7
head,47.8,10.7
evicerate,42.2
tranquilize,45.4
cheep,38
cheer,31.1,31.3-1
frolic,51.3.2
contrive,26.4
exclaim,37.7
soften,45.4
streak,51.3.2
lift,10.5,9.4
chop,18.2,21.2-2,21.1-1
entwine,22.2-2-1
dissolve,45.1,45.4
soil,9.8
gurgle,43.2,37.3
calm,31.1
call,37.3,29.3,60,13.5.1,38
calk,9.9
paper,9.9
quarantine,16
pipe,43.2,38
nuzzle,36.2
deform,26.6.1
crackle,43.2
reprimand,33
bamboozle,59
immerse,9.1
foxtrot,51.5
dehull,10.8
check,35.2,30.3
reappear,48.1.1
decontaminate,10.8
deject,31.1
strike_up,55.5-1
slather,9.7-2
glare,40.2,30.3,43.1
televise,25.4
teach,37.1.1-1-1
hybridize,45.4
savor,30.2,31.2
deprive,10.6
target,98
group,22.3-2,47.5.2,29.10
average,108-3
fume,31.3-8,31.3-1
harass,31.1,59-1
scrimp,54.5
magnify,37.12,45.4
visit,36.3-1
lessen,45.4
wait,47.1-1
diversify,45.4
overturn,45.4
wail,43.2,37.3,38
memorize,14-2
partner,71,29.8-1
black,9.9
batter,18.1-1
further,102
soak,9.8,45.4,10.4.1
impress,31.1
