Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
SNP,2005-10-20,0.444,0.444,0.431,0.434,16943000
SNP,2005-10-21,0.434,0.434,0.43,0.432,3666000
SNP,2005-10-24,0.432,0.437,0.432,0.432,6937500
SNP,2005-10-25,0.432,0.44,0.432,0.439,3227500
SNP,2005-10-26,0.44,0.442,0.432,0.435,10602500
SNP,2005-10-27,0.433,0.435,0.431,0.432,5407000
SNP,2005-10-28,0.43,0.43,0.41,0.411,13319000
SNP,2005-10-31,0.402,0.41,0.391,0.404,4632000
SNP,2005-11-01,0.402,0.407,0.399,0.404,3112500
SNP,2005-11-02,0.405,0.42,0.405,0.42,6137000
SNP,2005-11-03,0.421,0.422,0.413,0.413,6539500
SNP,2005-11-04,0.412,0.418,0.412,0.418,2956000
SNP,2005-11-07,0.42,0.45,0.417,0.45,8689500
SNP,2005-11-08,0.44,0.44,0.42,0.422,12108500
SNP,2005-11-09,0.422,0.425,0.419,0.425,2987500
SNP,2005-11-10,0.425,0.425,0.42,0.42,2874000
SNP,2005-11-11,0.422,0.423,0.418,0.42,3476500
SNP,2005-11-14,0.42,0.425,0.417,0.425,2227000
SNP,2005-11-15,0.42,0.426,0.42,0.423,3423000
SNP,2005-11-16,0.425,0.427,0.421,0.426,875000
SNP,2005-11-17,0.425,0.435,0.423,0.424,17718000
SNP,2005-11-18,0.424,0.43,0.42,0.425,15107000
SNP,2005-11-21,0.43,0.433,0.424,0.425,19083500
SNP,2005-11-24,0.44,0.445,0.436,0.438,26524500
SNP,2005-11-25,0.438,0.444,0.438,0.44,13914500
SNP,2005-11-28,0.441,0.459,0.441,0.457,23731000
SNP,2005-11-29,0.464,0.48,0.464,0.479,39664000
SNP,2005-11-30,0.484,0.495,0.483,0.484,15838500
SNP,2005-12-05,0.484,0.487,0.48,0.485,10512500
SNP,2005-12-06,0.48,0.48,0.471,0.477,10987500
SNP,2005-12-07,0.47,0.49,0.47,0.483,10759000
SNP,2005-12-08,0.488,0.5,0.488,0.5,19306000
SNP,2005-12-09,0.515,0.515,0.488,0.491,13726000
SNP,2005-12-12,0.49,0.495,0.48,0.48,12931000
SNP,2005-12-13,0.482,0.494,0.48,0.483,6835000
SNP,2005-12-14,0.483,0.485,0.475,0.475,6175500
SNP,2005-12-15,0.474,0.475,0.471,0.473,2664500
SNP,2005-12-16,0.471,0.482,0.469,0.477,4486000
SNP,2005-12-19,0.483,0.483,0.472,0.483,6731500
SNP,2005-12-20,0.48,0.485,0.477,0.485,8242500
SNP,2005-12-21,0.48,0.489,0.48,0.486,25461000
SNP,2005-12-22,0.486,0.489,0.482,0.482,12144000
SNP,2005-12-23,0.485,0.487,0.47,0.477,23126500
SNP,2006-01-03,0.478,0.49,0.476,0.487,5602000
SNP,2006-01-04,0.49,0.52,0.49,0.515,35394000
SNP,2006-01-05,0.52,0.52,0.505,0.515,10518000
SNP,2006-01-06,0.51,0.52,0.505,0.51,5744000
SNP,2006-01-09,0.51,0.54,0.51,0.535,24958500
SNP,2006-01-10,0.54,0.55,0.53,0.54,9016500
SNP,2006-01-11,0.54,0.575,0.535,0.57,25497000
SNP,2006-01-12,0.57,0.595,0.565,0.59,18790000
SNP,2006-01-13,0.59,0.595,0.575,0.575,16678000
SNP,2006-01-16,0.575,0.59,0.57,0.58,5445500
SNP,2006-01-17,0.585,0.6,0.585,0.595,15708500
SNP,2006-01-19,0.57,0.6,0.57,0.6,11437500
SNP,2006-01-20,0.6,0.625,0.595,0.62,13133000
SNP,2006-01-23,0.615,0.625,0.605,0.625,10961500
SNP,2006-01-24,0.615,0.62,0.595,0.6,12531500
SNP,2006-01-25,0.6,0.615,0.595,0.615,10239000
SNP,2006-01-26,0.605,0.615,0.6,0.605,14460000
SNP,2006-01-27,0.61,0.61,0.6,0.605,3335500
SNP,2006-01-30,0.605,0.615,0.6,0.605,10458000
SNP,2006-01-31,0.61,0.615,0.605,0.615,6041500
SNP,2006-02-01,0.62,0.645,0.615,0.645,13473500
SNP,2006-02-02,0.64,0.655,0.635,0.635,9756500
SNP,2006-02-03,0.63,0.635,0.625,0.63,9509000
SNP,2006-02-06,0.63,0.635,0.62,0.63,4719000
SNP,2006-02-07,0.625,0.645,0.625,0.64,11501000
SNP,2006-02-08,0.645,0.65,0.62,0.625,15482500
SNP,2006-02-09,0.62,0.63,0.61,0.625,5152500
SNP,2006-02-10,0.62,0.635,0.62,0.63,4263500
SNP,2006-02-13,0.63,0.635,0.62,0.62,1965500
SNP,2006-02-14,0.62,0.62,0.595,0.595,10138500
SNP,2006-02-15,0.59,0.605,0.585,0.59,9129500
SNP,2006-02-16,0.59,0.6,0.585,0.6,5302500
SNP,2006-02-17,0.595,0.605,0.59,0.605,5118000
SNP,2006-02-20,0.6,0.62,0.6,0.615,6272000
SNP,2006-02-21,0.61,0.61,0.585,0.605,5607500
SNP,2006-02-22,0.595,0.615,0.59,0.615,5843500
SNP,2006-02-23,0.605,0.61,0.6,0.6,3243000
SNP,2006-02-24,0.6,0.61,0.595,0.6,2888500
SNP,2006-02-27,0.6,0.61,0.6,0.605,3399500
SNP,2006-02-28,0.605,0.625,0.6,0.625,5958000
SNP,2006-03-01,0.625,0.63,0.62,0.625,4072000
SNP,2006-03-02,0.62,0.625,0.6,0.6,10332000
SNP,2006-03-03,0.595,0.615,0.595,0.615,3759500
SNP,2006-03-06,0.61,0.625,0.605,0.625,3990500
SNP,2006-03-07,0.62,0.62,0.61,0.615,4012000
SNP,2006-03-08,0.61,0.62,0.61,0.615,4875500
SNP,2006-03-09,0.61,0.62,0.595,0.6,5201500
SNP,2006-03-10,0.6,0.6,0.575,0.59,9346000
SNP,2006-03-13,0.6,0.605,0.59,0.595,6441000
SNP,2006-03-14,0.59,0.59,0.56,0.565,5995000
SNP,2006-03-15,0.56,0.575,0.555,0.57,4632000
SNP,2006-03-16,0.57,0.585,0.565,0.585,5333500
SNP,2006-03-17,0.58,0.595,0.58,0.585,3438500
SNP,2006-03-20,0.585,0.585,0.575,0.58,5749000
SNP,2006-03-21,0.575,0.6,0.575,0.6,6964500
SNP,2006-03-22,0.59,0.6,0.58,0.585,3282000
SNP,2006-03-23,0.58,0.6,0.58,0.59,3220000
SNP,2006-03-24,0.59,0.59,0.585,0.59,2259500
SNP,2006-03-27,0.59,0.6,0.585,0.6,1528500
SNP,2006-03-28,0.59,0.605,0.58,0.585,4611500
SNP,2006-03-30,0.58,0.585,0.555,0.57,14708500
SNP,2006-03-31,0.57,0.58,0.56,0.565,6242500
