Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
DERRC-SEP06,2006-08-15,0.0929,0.0935,0.0909,0.0916,588,3966
DERRC-SEP06,2006-08-16,0.0908,0.0929,0.0906,0.0922,339,4362
DERRC-SEP06,2006-08-17,0.0921,0.0921,0.09,0.0905,416,4284
DERRC-SEP06,2006-08-18,0.0902,0.0902,0.085,0.0863,879,4178
DERRC-SEP06,2006-08-21,0.086,0.087,0.0844,0.0844,197,4170
DERRC-SEP06,2006-08-22,0.0845,0.0845,0.0822,0.083,337,4314
DERRC-SEP06,2006-08-23,0.084,0.0845,0.0816,0.084,235,4226
DERRC-SEP06,2006-08-24,0.0828,0.088,0.0825,0.0872,271,4174
DERRC-SEP06,2006-08-25,0.0872,0.088,0.085,0.0855,110,4124
DERRC-SEP06,2006-08-28,0.087,0.087,0.0828,0.084,57,4118
DERRC-SEP06,2006-08-30,0.0873,0.0873,0.0836,0.0865,134,4090
DERRC-SEP06,2006-08-31,0.0872,0.0884,0.0853,0.087,133,4064
DERRC-SEP06,2006-09-01,0.087,0.0895,0.0848,0.088,436,4024
DERRC-SEP06,2006-09-04,0.0887,0.0899,0.086,0.0874,74,4040
DERRC-SEP06,2006-09-05,0.0879,0.0887,0.086,0.086,180,3988
DERRC-SEP06,2006-09-06,0.0855,0.087,0.084,0.087,207,4166
DERRC-SEP06,2006-09-07,0.0879,0.0879,0.0858,0.0871,34,4224
DERRC-SEP06,2006-09-08,0.0879,0.088,0.085,0.0878,152,4214
DERRC-SEP06,2006-09-11,0.087,0.089,0.087,0.0878,202,4060
DERRC-SEP06,2006-09-12,0.0889,0.0889,0.0862,0.0863,58,4076
DERRC-SEP06,2006-09-13,0.086,0.0868,0.0858,0.0862,353,4174
DERRC-SEP06,2006-09-14,0.0862,0.0883,0.0862,0.0883,125,4098
DERRC-SEP06,2006-09-15,0.0894,0.0894,0.086,0.0882,47,4154
DERRC-SEP06,2006-09-18,0.0878,0.0895,0.0878,0.0885,5,4160
DERRC-SEP06,2006-09-19,0.0882,0.0886,0.0882,0.0885,56,4222
DERRC-SEP06,2006-09-20,0.089,0.089,0.0868,0.0868,4,4218
DERRC-SEP06,2006-09-21,0.0894,0.0894,0.0866,0.0892,67,4200
DERRC-SEP06,2006-09-22,0.0898,0.0906,0.0876,0.09,232,4158
DERRC-SEP06,2006-09-25,0.0902,0.0914,0.0895,0.0912,248,3982
DERRC-SEP06,2006-09-26,0.091,0.0914,0.09,0.091,176,3844
DERRC-SEP06,2006-09-27,0.0914,0.0916,0.0904,0.0905,59,3740
DERRC-SEP06,2006-09-28,0.091,0.0917,0.0906,0.091,253,3406
DERRC-SEP06,2006-09-29,0.0915,0.0916,0.0906,0.0906,36,3334
